AUTHOR_KEY,AUTHOR_NAME,AUTHOR_AUX,AUTHOR_BIBTEX,AUTHOR_ORCID
books/mk/Pyle99,Dorian Pyle,,,
books/mk/HanK2000,Jiawei Han 0001,,,
books/mk/HanK2000,Micheline Kamber,,,
books/mk/Teory98,Toby J. Teorey,,,
books/mk/Chamberlin98,Donald D. Chamberlin,,,
books/mk/Celko97,Joe Celko,,,
books/mk/EppingerMS91,Jeffrey L. Eppinger,,,
books/mk/EppingerMS91,Lily B. Mummert,,,
books/mk/EppingerMS91,Alfred Z. Spector,,,
books/mk/Melton98,Jim Melton,,,
books/mk/Melton00,Jim Melton,,,
books/mk/Cattell00,R. G. G. Cattell,,,
books/mk/Cattell00,Douglas K. Barry,,,
books/mk/LynchMWF93,Nancy A. Lynch,,,
books/mk/LynchMWF93,Michael Merritt,,,
books/mk/LynchMWF93,William E. Weihl,,,
books/mk/LynchMWF93,Alan Fekete,,,
books/mk/PuderR00,Arno Puder,,,
books/mk/PuderR00,Kay Römer,,,
books/mk/Hvasshovd99,Svein-Olaf Hvasshovd,,,
books/mk/Cox00,Earl Cox,,,
books/mk/Melton00a,Jim Melton,,,
books/mk/AllenK2001,Randy Allen,,,
books/mk/AllenK2001,Ken Kennedy,,,
books/mk/WittenF99,Ian H. Witten,,,
books/mk/WittenF99,Eibe Frank,,,
books/mk/Langley94,Pat Langley,,,
books/mk/HoosS2004,Holger H. Hoos,,,
books/mk/HoosS2004,Thomas Stützle,,,
books/mk/GutingS2005,Ralf Hartmut Güting,,,
books/mk/GutingS2005,Markus Schneider 0001,,,
books/mk/WittenB03,Ian H. Witten,,,
books/mk/WittenB03,David Bainbridge,,,
books/mk/WeissK90,Sholom M. Weiss,,,
books/mk/WeissK90,Casimir A. Kulikowski,,,
books/mk/BunemanSA99,Serge Abiteboul,,,
books/mk/BunemanSA99,Peter Buneman,,,
books/mk/BunemanSA99,Dan Suciu,,,
books/mk/ONeilN00,Patrick E. O'Neil,,,
books/mk/ONeilN00,Elizabeth J. O'Neil,,,
books/mk/GrayR93,Jim Gray,,,
books/mk/GrayR93,Andreas Reuter 0001,,,
books/mk/Saracco98,Cynthia Maro Saracco,,,
books/mk/Stonebraker96,Michael Stonebraker,,,
books/mk/Stonebraker96,Dorothy Moore,,,
books/mk/HennessyP96,John L. Hennessy,,,
books/mk/HennessyP96,David A. Patterson,,,
books/mk/Lynch96,Nancy A. Lynch,,,
books/mk/WittenMB99,Ian H. Witten,,,
books/mk/WittenMB99,Alistair Moffat,,,
books/mk/WittenMB99,Timothy C. Bell,,,
books/mk/Touretzky86,David S. Touretzky,,,
books/mk/VossenH2007,Gottfried Vossen,,,
books/mk/VossenH2007,Stephan Hagemann,,,
books/mk/MeltonS93,Jim Melton,,,
books/mk/MeltonS93,Alan R. Simon,,,
books/mk/PattersonH97,David A. Patterson,,,
books/mk/PattersonH97,John L. Hennessy,,,
books/mk/Westman00,Paul Westerman,,,
books/mk/ONeil94,Patrick E. O'Neil,,,
books/mk/HanKP2011,Jiawei Han 0001,,,
books/mk/HanKP2011,Micheline Kamber,,,
books/mk/HanKP2011,Jian Pei,,,
books/mk/PattersonH90,David A. Patterson,,,
books/mk/PattersonH90,John L. Hennessy,,,
books/mk/BernsteinN96,Philip A. Bernstein,,,
books/mk/BernsteinN96,Eric Newcomer,,,
