NOTE_KEY,NOTE_NAME,NOTE_AUX,NOTE_LABEL,NOTE_TYPE
journals/jal/LipskiP82,see: J. Algorithms 1(3): 235-246 (1980),,,
journals/jal/EppsteinITTWY93,see: J. Algorithms 13(1): 33-54 (1992),,,
journals/jal/Overmars81,Corrigendum: J. Algorithms 4(3): 301 (1983),,,
journals/tis/Cherniavsky96,10.1080/019722496129819,,,doi
journals/tis/Bainbridge96,10.1080/019722496129819,,,doi
journals/tis/Kling96a,10.1080/019722496129819,,,doi
journals/sigplan/LiL97,Correction: SIGPLAN Notices 33(4): 27 (1998),,,
journals/sigplan/Curcio98,Correction: SIGPLAN Notices 34(12): 72 (1999),,,
journals/tochi/YamadaHS95,Corrigendum: TOCHI 3(3): 285 (1996),,,
journals/csur/DowdyF82,comments: ACM Computing Surveys 15(1): 81-82 (1983),,,
journals/csur/Forum83,see ACM Computing Surveys 14(2): 287-313 (1982),,,
journals/csur/Forum83a,see ACM Computing Surveys 13(4): 373-397 (1981),,,
journals/csur/Abbott90,,,,
journals/csur/Corrigendum89,see: ACM Computing Surveys 21(3): 413-510 (1989),,,
journals/csur/ColbournO89,see comments in ACM Computing Surveys 22171 (1990),,,
journals/csur/Form91a,see: ACM Computing Surveys 22(1): 35-68 (1990),,,
journals/csur/Forum83b,see ACM Computing Surveys 14(4): 573-592(1982),,,
journals/csur/Shapiro89,corrigendum: ACM Computing Surveys 21(4): 629 (1989),,,
journals/csur/Forum92,see: ACM Computing Surveys 23(1): 5-48 (1991),,,
journals/csur/Forum87,see ACM Computing Surveys 18(2): 197-222,,,
journals/csur/AhujaS81,see ACM Computing Surveys 15(1): 83-84 (1983),,,
journals/csur/Goldberg91,corrigendum: ACM Computing Surveys 23(3): 413 (1991) comments: ACM Computing Surveys 24(2): 319 (1992),,,
journals/csur/Corrigenda83,see ACM Computing Surveys 15(1): 3-43 (1983),,,
journals/csur/Pawlikowski90,corrigenda: ACM Computing Survey 22(4): 409,,,
journals/csur/Corrigenda90,see: ACM Computing Survey 22(2): 123-170 (1990),,,
journals/csur/Corrigendum91,see: ACM Computing Surveys 23(1): 5-48 (1991),,,
journals/csur/MiliD86,corrigendum: ACM Computing Survey 19(2): 195 (1987),,,
journals/csur/Forum90,see ACM Computing Surveys 21(2): 223-250 (1989),,,
journals/csur/Corrigendum87,see ACM Computing Surveys 18 (3): 231-276,,,
journals/csur/Form91,see: ACM Computing Surveys 22(1): 35-68 (1990),,,
journals/csur/GanapathiFH82,comments: ACM Computing Surveys 15(3): 279-284 (1983),,,
journals/csur/Forum83c,see ACM Computing Surveys 15(1): 3-43 (1983),,,
journals/jacm/GelderRS91,preliminary version: PODS 1988: 221-230,,,
journals/jacm/FaginH94,Corrigendum: JACM 45(1): 214 (1998),,,
journals/mst/HeltonR87,Corrigendum: Mathematical Systems Theory 21(1): 61 (1988),,,
journals/mst/Jones78,see: Mathematical Systems Theory 3(2): 102-109 (1969),,,
journals/mst/Schaft87a,see: Mathematical Systems Theory 19(3): 239-275 (1987),,,
journals/mst/PaulTC77a,see: Mathematical Systems Theory 10: 239-251 (1977),,,
journals/mst/KrohnMR67,Correction: Mathematical Systems Theory 1(4): 373(1967),,,
journals/mst/Young71a,Corrigendum: Mathematical Systems Theory 7(4): 352 (1974),,,
journals/mst/Knuth68,Correction: Mathematical Systems Theory 5(1): 95-96 (1971),,,
journals/mst/Young74,see: Mathematical Systems Theory 5(2): 148-156(1971),,,
journals/mst/Knuth71,see: Mathematical Systems Theory 2(2): 127-145 (1968),,,
journals/mst/PaulTC77,Correction: Mathematical Systems Theory 11: 85 (1977),,,
journals/mst/Yorke68,see: Mathematical Systems Theory 1(4): 353-372 (1967),,,
journals/mst/YamashitaK96,Erratum: Theory of Computing System 31(1): 109 (1998),,,
journals/mst/Yorke67,Correction: Mathematical Systems Theory 2(4): 381(1968),,,
journals/mst/Schaft87,Correction: Mathematical Systems Theory 20(4): 305-306 (1987),,,
journals/mst/HeltonR88,see: Mathematical Systems Theory 20(2-3): 169-192 (1987),,,
journals/mst/KrohnMR67a,see: Mathematical Systems Theory 1(1): 59-66(1967),,,
journals/mst/Zeiger67,Correction: Mathematical Systems Theory 2(4): 381(1968),,,
journals/mst/Jones69,Corrigendum: Mathematical Systems Theory 11: 379-380 (1978),,,
journals/cn/LogrippoFH91,Corrigendum: Computer Networks and ISDN Systems 25(1): 99-100 (1992),,,
journals/pe/QureshiS94,Erratum: Performance Evaluation 21(3): 272 (1995),,,
journals/pe/ChoiKT94,Erratum: Performance Evaluation 21(3): 271 (1995),,,
journals/jcss/Maibaum77,see: JCSS 8(3): 408-439,,,
journals/jcss/Tompa80,Corrigendum JCSS 23(1): 106 (1981),,,
journals/jcss/EdelsbrunnerG91,see: JCSS 38(1): 165-194 (1989),,,
journals/jcss/JosephY81,Corrigendum JCSS 24(3): 378 (1982),,,
journals/jcss/Doner71,see: JCSS 4(5): 406-451 (1970),,,
journals/jcss/Jones77,see JCSS 11(1): 68-85 (1975),,,
journals/jcss/Tompa81,see JCSS 20(2): 118-132 (1980),,,
journals/jcss/Pippenger81,Corresction: JCSS 37(3): 395-399 (1988),,,
journals/jcss/Pippenger88,see: JCSS 22(3): 454-470 (1981),,,
journals/jcss/JosephY82,see: JCSS 23(2): 205-222 (1981),,,
journals/jcss/IgarashiH75,see JCSS 7(2): 199-217 (1973),,,
journals/debu/Shoens86,presented at HPTS 1985,,,
journals/debu/Bernstein86,presented at HPTS 1985,,,
journals/debu/Schek88,presented at the SIGMOD Conference 1988 Panel on Nested Realtions,,,
journals/debu/LivnyKB86,presented at HPTS 1985,,,
journals/debu/Stonebraker86,presented at HPTS 1985,,,
journals/dr/Srivastava00,DBLP:conf/vldb/McKennaBHT96__divesh,,,reviewid
journals/dr/Srivastava00,POS,,,rating
journals/dr/Bertino99,DBLP:conf/sigmod/GriffithsW76__bertino,,,reviewid
journals/dr/Bertino99,POS,,,rating
journals/dr/Haas00a,DBLP:conf/sigmod/CallanCD99__laura,,,reviewid
journals/dr/Haas00a,NEUTRAL,,,rating
journals/dr/Winslett01a,dblp.tods.oo1__winslett,,,reviewid
journals/dr/Winslett01a,POS,,,rating
journals/dr/Vianu00b,DBLP:journals/jcss/AndriesP96__vianu,,,reviewid
journals/dr/Vianu00b,SUPERB,,,rating
