CDROM_KEY,CDROM_NAME
conf/icde/KaulDN90,ICDE90/P002.pdf
conf/icde/HarnL89,ICDE89/P332.pdf
conf/icde/BrahmadathanR89,ICDE89/P522.pdf
conf/icde/NakayamaHI84,ICDE84/P160.pdf
conf/icde/LentSW97,ICDE97/P220.pdf
conf/icde/FordM96,ICDE96/P020.pdf
conf/icde/PerrizoLV88,ICDE88/P058.pdf
conf/icde/RotemZ95,ICDE95/P439.pdf
conf/icde/ParentS84,ICDE84/P500.pdf
conf/icde/SrivastavaHT90,ICDE90/P121.pdf
conf/icde/WolfIPT91,ICDE91/P510.pdf
conf/icde/Georgakopoulos94,ICDE94/P540.pdf
conf/icde/SubramanianLVZ95,ICDE95/P080.pdf
conf/icde/ShekharY92,ICDE92/P078.pdf
conf/icde/MurphyS91,ICDE91/P698.pdf
conf/icde/AmerM87,ICDE87/P340.pdf
conf/icde/LingG92,ICDE92/P642.pdf
conf/icde/Galindo-LegariaR92,ICDE92/P402.pdf
conf/icde/TsangarisKNNS96,ICDE96/P300.pdf
conf/icde/KeefeTS90,ICDE90/P337.pdf
conf/icde/Al-HoumailyCL97,ICDE97/P255.pdf
conf/icde/OzdenRS97,ICDE97/P333.pdf
conf/icde/WienerGLZG97,ICDE97/P589.pdf
conf/icde/AkyurekS93,ICDE93/P182.pdf
conf/icde/MontesiT95,ICDE95/P109.pdf
conf/icde/Aoki99,DiSC2_1/out/papers/icde/00710258.pdf
conf/icde/HuangL88,ICDE88/P136.pdf
conf/icde/NepalR99,DiSC2_1/out/papers/icde/00710022.pdf
conf/icde/OzsoyogluY87,ICDE87/P599.pdf
conf/icde/Larson88,ICDE88/P600.pdf
conf/icde/WodtkeWWD96,ICDE96/P556.pdf
conf/icde/ChiuY97,ICDE97/P323.pdf
conf/icde/ChuRN92,ICDE92/P238.pdf
conf/icde/Antoshenkov93,ICDE93/P538.pdf
conf/icde/KaoCL87,ICDE87/P356.pdf
conf/icde/ChenB99,DiSC2_1/out/papers/icde/00710101.pdf
conf/icde/AhnK97,ICDE97/P004.pdf
conf/icde/KetabchiB86,ICDE86/P407.pdf
conf/icde/ChakrabartiM98,ICDE98/P446.pdf
conf/icde/PetersO95,ICDE95/P156.pdf
conf/icde/CliffordC87,ICDE87/P528.pdf
conf/icde/Stonebraker88,ICDE88/P222.pdf
conf/icde/Antoshenkov96,ICDE96/P430.pdf
conf/icde/Graefe96,ICDE96/P160.pdf
conf/icde/WangH92,ICDE92/P088.pdf
conf/icde/Lieuwen98,ICDE98/P086.pdf
conf/icde/YangLWYDN95,ICDE95/P131.pdf
conf/icde/OzsoyogluC86,ICDE86/P075.pdf
conf/icde/Garcia-SolacoSC95,ICDE95/P505.pdf
conf/icde/Mauri92,ICDE92/P166.pdf
conf/icde/Soloviev93,ICDE93/P419.pdf
conf/icde/BenjaminL86,ICDE86/P661.pdf
conf/icde/Chaudhuri90,ICDE90/P138.pdf
conf/icde/SarawagiS94,ICDE94/P328.pdf
conf/icde/Rotem91,ICDE91/P500.pdf
conf/icde/BelfordLCCEGHKKLMMSYZRL84,ICDE84/P596.pdf
conf/icde/AlashqurSL90,ICDE90/P058.pdf
conf/icde/JagadishMR97,ICDE97/P520.pdf
conf/icde/UrbanUD84,ICDE84/P348.pdf
conf/icde/GelenbeH86,ICDE86/P328.pdf
conf/icde/Yap95,ICDE95/P351.pdf
conf/icde/LaurentLSV99,DiSC2_1/out/papers/icde/00710490.pdf
conf/icde/SrivastavaR88,ICDE88/P402.pdf
conf/icde/YuC91,ICDE91/P622.pdf
conf/icde/Celis97,ICDE97/P321.pdf
conf/icde/NgR95,ICDE95/P540.pdf
conf/icde/Jasper94,ICDE94/P375.pdf
conf/icde/CalmetJS97,ICDE97/P434.pdf
conf/icde/AlonsoB89,ICDE89/P056.pdf
conf/icde/WagnerFH90,ICDE90/P330.pdf
conf/icde/RamamoorthyS87,ICDE87/P218.pdf
conf/icde/DanTK88,ICDE88/P418.pdf
conf/icde/SullivanO92,ICDE92/P293.pdf
conf/icde/Lautemann97,ICDE97/P067.pdf
conf/icde/Morizet-MahoudeauxSO94,ICDE94/P368.pdf
conf/icde/Orenstein88,ICDE88/P603.pdf
conf/icde/SwamiI93,ICDE93/P345.pdf
conf/icde/ZhuL94,ICDE94/P144.pdf
conf/icde/ZhugeGW97,ICDE97/P289.pdf
conf/icde/ChanO97,ICDE97/P014.pdf
conf/icde/Valduriez93,ICDE93/P460.pdf
conf/icde/HuaVH99,DiSC2_1/out/papers/icde/00710079.pdf
conf/icde/Woodruff97,ICDE97/P091.pdf
conf/icde/RangarajanST92,ICDE92/P230.pdf
conf/icde/Koubarakis93,ICDE93/P327.pdf
conf/icde/WiederholdQ87,ICDE87/P246.pdf
conf/icde/BanatreMB88,ICDE88/P285.pdf
conf/icde/SuleimanCF98,ICDE98/P036.pdf
conf/icde/RundensteinerBGY91,ICDE91/P710.pdf
conf/icde/OzsoyogluO84,ICDE84/P193.pdf
conf/icde/HutfleszSW88,ICDE88/P572.pdf
conf/icde/JajodiaM88,ICDE88/P144.pdf
conf/icde/HenningHW87,ICDE87/P518.pdf
conf/icde/PhatakB99,DiSC2_1/out/papers/icde/00710582.pdf
conf/icde/YuwonoL96,ICDE96/P164.pdf
conf/icde/Fisher97,ICDE97/P135.pdf
conf/icde/Linnemann87,ICDE87/P591.pdf
conf/icde/TanGO99,DiSC2_1/out/papers/icde/00710032.pdf
conf/icde/AnwarBN92,ICDE92/P622.pdf
conf/icde/DaynesGV95,ICDE95/P316.pdf
conf/icde/Horowitz92,ICDE92/P548.pdf
conf/icde/Welch87,ICDE87/P295.pdf
conf/icde/Singh96,ICDE96/P616.pdf
conf/icde/YanL94,ICDE94/P089.pdf
conf/icde/TsuchiyaM84,ICDE84/P570.pdf
conf/icde/WuYC93,ICDE93/P577.pdf
conf/icde/AcharyaFZ96,ICDE96/P276.pdf
conf/icde/BilirisP95a,ICDE95/P308.pdf
conf/icde/Paseman89,ICDE89/P419.pdf
conf/icde/CrokerM86,ICDE86/P049.pdf
conf/icde/Jiang90,ICDE90/P264.pdf
conf/icde/CalmetDJS96,ICDE96/P124.pdf
conf/icde/SmedtCNSA93,ICDE93/P145.pdf
conf/icde/RobinsonF94,ICDE94/P102.pdf
conf/icde/Palley86,ICDE86/P067.pdf
conf/icde/GangulyKS91,ICDE91/P728.pdf
conf/icde/DemurjianH87,ICDE87/P044.pdf
conf/icde/Dolby84,ICDE84/P111.pdf
conf/icde/RamamoorthyS90,ICDE90/P346.pdf
conf/icde/Ghosh87,ICDE87/P281.pdf
