EDITOR_KEY,EDITOR_NAME,EDITOR_AUX,EDITOR_ORCID
books/mk/SchillerV2004,Agnès Voisard,,
books/ms/4paradigm09,Tony Hey,,
books/ms/4paradigm09,Stewart Tansley,,
books/ms/4paradigm09,Kristin M. Tolle,,
books/bc/TanselCGJSS93,Abdullah Uz Tansel,,
books/bc/TanselCGJSS93,James Clifford,,
books/bc/TanselCGJSS93,Shashi K. Gadia,,
books/bc/TanselCGJSS93,Sushil Jajodia,,
books/bc/TanselCGJSS93,Arie Segev,,
books/bc/TanselCGJSS93,Richard T. Snodgrass,,
books/el/RSS2015,Mark von Rosing,,
books/el/RSS2015,Henrik von Scheel,,
books/el/RSS2015,August-Wilhelm Scheer,,
books/el/Ceri83,Stefano Ceri,,
books/el/17/012809764,Michael Sheng,,
books/el/17/012809764,Yongrui Qin,,
books/el/17/012809764,Lina Yao,,
books/el/17/012809764,Boualem Benatallah,,
books/el/Nivat92,Maurice Nivat,,
books/el/Nivat92,Andreas Podelski,,
books/el/KC2015,Ryan Kok Leong Ko,,
books/el/KC2015,Kim-Kwang Raymond Choo,,
books/el/Alba85,Antonio Albano,,
books/el/Alba85,Valeria De Antonellis,,
books/el/Alba85,Antonio Di Leva,,
books/el/RobinsonV01,John Alan Robinson,,
books/el/RobinsonV01,Andrei Voronkov,,
books/el/Leeuwen90,Jan van Leeuwen,,
books/el/Leeuwen90a,Jan van Leeuwen,,
books/el/Kent1978,William Kent,,
books/ph/Yao85,S. Bing Yao,,
books/ph/FrakesB92,William B. Frakes,,
books/ph/FrakesB92,Ricardo A. Baeza-Yates,,
books/ph/GroskyJM97,William I. Grosky,,
books/ph/GroskyJM97,Ramesh Jain,,
books/ph/GroskyJM97,Rajiv Mehrotra,,
books/ph/CardenasM90,Alfonso F. Cardenas,,
books/ph/CardenasM90,Dennis McLeod,,
books/ph/BukhresE96,Omran A. Bukhres,,
books/ph/BukhresE96,Ahmed K. Elmagarmid,,
books/ph/DeitelDS01,Harvey M. Deitel,,
books/ph/DeitelDS01,Paul J. Deitel,,
books/ph/DeitelDS01,Sean E. Santry,,
books/ph/LoomisC97,Mary E. S. Loomis,,
books/ph/LoomisC97,Akmal B. Chaudhri,,
books/ph/Comer00,Douglas Comer,,
books/kl/Snodgrass95,Richard T. Snodgrass,,
books/kl/Ortega00,Manuel Ortega,,
books/kl/Ortega00,José Bravo,,
books/kl/Djeraba02,Chabane Djeraba,,
books/kl/Ortega01,Manuel Ortega,,
books/kl/Ortega01,José Bravo,,
books/kl/WuXS2003,Weili Wu,,
books/kl/WuXS2003,Hui Xiong,,
books/kl/WuXS2003,Shashi Shekhar,,
books/kl/JajodiaK97,Sushil Jajodia,,
books/kl/JajodiaK97,Larry Kerschberg,,
books/kl/ChomickiS98,Jan Chomicki,,
books/kl/ChomickiS98,Gunter Saake,,
books/idea/DoornR02,Jorge Horacio Doorn,,
books/idea/DoornR02,Laura C. Rivero,,
books/idea/Rossi01,Matti Rossi,,
books/idea/Rossi01,Keng Siau,,
books/idea/Siau02,Keng Siau,,
books/idea/Ency05,Mehdi Khosrow-Pour,,
books/idea/Siau04,Keng Siau,,
books/idea/Siau03,Keng Siau,,
books/idea/EncyDB05,Laura C. Rivero,,
books/idea/EncyDB05,Jorge Horacio Doorn,,
books/idea/EncyDB05,Viviana E. Ferraggine,,
books/idea/Siau05,John Krogstie,,
books/idea/Siau05,Terry A. Halpin,,
books/idea/Siau05,Keng Siau,,
