PUBLISHER_KEY,PUBLISHER_NAME,PUBLISHER_HREF
books/infix/Hemforth93,Infix Verlag St. Augustin Germany,
books/infix/Dobrovnik97,Infix Verlag St. Augustin Germany,
books/infix/Tank92,Infix Verlag St. Augustin Germany,
books/infix/Meskes97,Infix Verlag St. Augustin Germany,
books/infix/Messer92,Infix Verlag St. Augustin Germany,
books/infix/Listl96,Infix Verlag St. Augustin Germany,
books/infix/Wanner98,Infix Verlag St. Augustin Germany,
books/infix/Bayer93,Infix Verlag St. Augustin Germany,
books/infix/Viegener97,Infix Verlag St. Augustin Germany,
books/infix/Assmann92,Infix Verlag St. Augustin Germany,
books/infix/Heinsohn94,Infix Verlag St. Augustin Germany,
books/infix/Reinert96,Infix Verlag St. Augustin Germany,
books/infix/Zercher92,Infix Verlag St. Augustin Germany,
books/infix/Simon93,Infix Verlag St. Augustin Germany,
books/infix/Andre95,Infix Verlag St. Augustin Germany,
books/infix/Hofmann98,Infix Verlag St. Augustin Germany,
books/infix/Denker96,Infix,
books/infix/Kusch96,Infix Verlag St. Augustin Germany,
books/infix/Ertel93,Infix Verlag St. Augustin Germany,
books/infix/Krivokapic99,Infix Verlag St. Augustin Germany,
books/infix/Maier93,Infix Verlag St. Augustin Germany,
books/infix/Ludascher98,Infix Verlag St. Augustin Germany,
books/infix/Mehl93,Infix Verlag St. Augustin Germany,
books/infix/Ritter97,Infix Verlag St. Augustin Germany,
books/infix/Grosse99,Infix Verlag St. Augustin Germany,
books/infix/Kliger96,Infix Verlag St. Augustin Germany,
books/infix/Syska92,Infix Verlag St. Augustin Germany,
books/infix/Prechtel93,Infix Verlag St. Augustin Germany,
books/infix/Spreng93,Infix Verlag St. Augustin Germany,
books/infix/Preuner99,Infix Verlag St. Augustin Germany,
books/infix/Myka99,Infix Verlag St. Augustin Germany,
books/infix/Schmitt98,Infix Verlag St. Augustin Germany,
books/infix/Schaefers2016,Aka Akademische Verlagsgesellschaft Aka GmbH Berlin,
books/infix/Homann97,Infix Verlag St. Augustin Germany,
books/infix/Liu93,Infix Verlag St. Augustin Germany,
books/infix/Dusterhoft97,Infix Verlag St. Augustin Germany,
books/infix/Uhrmacher92,Infix Verlag St. Augustin Germany,
books/infix/Otte94,Infix Verlag St. Augustin Germany,
books/infix/Sauter98,Infix Verlag St. Augustin Germany,
books/infix/Benzschawel96,Infix Verlag St. Augustin Germany,
books/infix/Mast93,Infix Verlag St. Augustin Germany,
books/infix/Kapsammer99,Infix Verlag St. Augustin Germany,
books/infix/Kohne93,Infix Verlag St. Augustin Germany,
books/infix/Jonscher98,Infix Verlag St. Augustin Germany,
books/infix/Stein94,Infix Verlag St. Augustin Germany,
books/infix/Neugebauer92,Infix Verlag St. Augustin Germany,
books/infix/Fahrner97,Infix Verlag St. Augustin Germany,
books/infix/Cao93,Infix Verlag St. Augustin Germany,
books/infix/Nissen97,Infix Verlag St. Augustin Germany,
books/infix/Bruning93,Infix Verlag St. Augustin Germany,
books/infix/Gallersdorfer97,Infix Verlag St. Augustin Germany,
books/infix/Winklhofer94,Infix Verlag St. Augustin Germany,
books/infix/Berns94,Infix Verlag St. Augustin Germany,
books/infix/Lehner93,Infix Verlag St. Augustin Germany,
books/infix/Eusterbrock92,Infix Verlag St. Augustin Germany,
books/infix/Kandzia98,Infix Verlag St. Augustin Germany,
books/infix/Fischer93,Infix Verlag St. Augustin Germany,
books/infix/vonWangenheim97,Infix Verlag,
books/infix/Wodtke97,Infix,
books/infix/Zachmann97,Infix,
books/infix/Kummert92,Infix Verlag St. Augustin Germany,
books/infix/Werling93,Infix Verlag St. Augustin Germany,
books/infix/Maurer93,Infix Verlag St. Augustin Germany,
books/infix/Boss96,Infix Verlag St. Augustin Germany,
books/infix/Neufeld94,Infix Verlag St. Augustin Germany,
books/infix/Breitner98,Infix Verlag St. Augustin Germany,
books/infix/Thomas96,Infix Verlag St. Augustin Germany,
books/infix/Sommer93,Infix Verlag St. Augustin Germany,
books/infix/Staudt97,Infix Verlag St. Augustin Germany,
books/infix/Ley93,Infix Verlag St. Augustin Germany,
books/infix/Muller92,Infix Verlag St. Augustin Germany,
books/infix/Schroder94,Infix Verlag St. Augustin Germany,
books/infix/Woss99,Infix Verlag St. Augustin Germany,
