BOOK_KEY,LAST_MDATE,PUBLTYPE,CDATE,TITLE,BOOKTITLE,PAGES,YEAR,VOLUME,MONTH,URL,CDROM,NOTE,SERIES,SCHOOL
reference/spatial/2007,2014-06-10,,,Handbook of Spatial Logics,,,2007,,,db/reference/spatial/spatial2007.html,,,,
reference/dmkdh/2010,2011-01-08,,,Data Mining and Knowledge Discovery Handbook 2nd ed.,Data Mining and Knowledge Discovery Handbook 2nd ed.,,2010,,,db/reference/dmkdh/dmkdh2010.html,,,,
reference/crypt/2011,2017-05-16,,,Encyclopedia of Cryptography and Security 2nd Ed.,,,2011,,,db/reference/crypt/crypt2011.html,,,,
reference/crypt/2005,2011-11-25,,,Encyclopedia of Cryptography and Security,,,2005,,,db/reference/crypt/crypt2005.html,,,,
reference/convergence/2016,2017-05-16,,,Handbook of Science and Technology Convergence,,,2016,,,db/reference/convergence/convergence2016.html,,,,
reference/sc/2015,2017-05-16,,,Encyclopedia of Systems and Control,,,2015,,,db/reference/sc/sc2015.html,,,,
reference/fai/1,2015-10-16,,,Handbook of Temporal Reasoning in Artificial Intelligence,Handbook of Temporal Reasoning in Artificial Intelligence,,,1,,,,,Foundations of Artificial Intelligence,
reference/fai/2,2015-10-16,,,Handbook of Constraint Programming,Handbook of Constraint Programming,,2006,2,,db/reference/fai/fai2.html,,,Foundations of Artificial Intelligence,
reference/fai/3,2015-10-16,,,Handbook of Knowledge Representation,Handbook of Knowledge Representation,,2008,3,,db/reference/fai/fai3.html,,,Foundations of Artificial Intelligence,
reference/crc/2006momi,2017-06-14,,,The Handbook of Mobile Middleware.,,,2006,,,db/reference/crc/momi2006.html,,,,
reference/crc/2012vs,2017-05-16,,,Handbook on Soft Computing for Video Surveillance.,,,2012,,,db/reference/crc/vs2012.html,,,,
reference/crc/2014mmm,2015-06-05,,,Handbook of Mixed Membership Models and Their Applications.,,,2014,,,db/reference/crc/mmm2014.html,,,,
reference/crc/2004mc,2017-05-16,,,Mobile Computing Handbook.,,,2004,,,db/reference/crc/mc2004.html,,,,
reference/crc/2009ua,2017-05-16,,,The Universal Access Handbook.,,,2009,,,db/reference/crc/ua2009.html,,,,
reference/crc/2007aam,2017-05-16,,,Handbook of Approximation Algorithms and Metaheuristics.,,,2007,,,db/reference/crc/aam2007.html,,,,
reference/crc/2012fsbma,2017-05-16,,,Handbook of Finite State Based Models and Applications.,,,2012,,,db/reference/crc/fsbma2012.html,,,,
reference/crc/2004sch,2015-06-03,,,Handbook of Scheduling - Algorithms Models and Performance Analysis.,,,2004,,,db/reference/crc/sch2004.html,,,,
reference/crc/2005bioi,2017-05-16,,,Handbook of Bioinspired Algorithms and Applications.,,,2005,,,db/reference/crc/bioi2005.html,,,,
reference/crc/2005es,2017-05-16,,,Embedded Systems Handbook.,,,2005,,,db/reference/crc/es2005.html,,,,
reference/crc/2013gd,2016-01-17,,,Handbook on Graph Drawing and Visualization.,,,2013,,,db/reference/crc/gd2013.html,,,,
reference/crc/2007dsm,2017-05-16,,,Handbook of Dynamic System Modeling.,,,2007,,,db/reference/crc/dsm2007.html,,,,
reference/crc/1999drm,2017-05-16,,,Handbook of Discrete and Combinatorial Mathematics.,,,1999,,,db/reference/crc/drm1999.html,,,,
reference/crc/2010fcs,2017-05-16,,,Handbook of Financial Cryptography and Security.,,,2010,,,db/reference/crc/fcs2010.html,,,,
reference/crc/2007rtes,2017-07-05,,,Handbook of Real-Time and Embedded Systems.,,,2007,,,db/reference/crc/rtes2007.html,,,,
reference/crc/2004dsa,2017-05-16,,,Handbook of Data Structures and Applications.,,,2004,,,db/reference/crc/dsa2004.html,,,,
reference/crc/2005awnmc,2017-05-16,,,Handbook of Algorithms for Wireless Networking and Mobile Computing.,,,2005,,,db/reference/crc/awnmc2005.html,,,,
reference/crc/2005ehcc,2017-05-16,,,Handbook of Elliptic and Hyperelliptic Curve Cryptography.,,,2005,,,db/reference/crc/ehcc2005.html,,,,
reference/crc/2007pc,2017-05-16,,,Handbook of Parallel Computing - Models Algorithms and Applications.,,,2007,,,db/reference/crc/pc2007.html,,,,
reference/crc/2004ic,2017-05-16,,,The Practical Handbook of Internet Computing.,,,2004,,,db/reference/crc/ic2004.html,,,,
reference/crc/2007ismh,2017-05-16,,,Information security management handbook Sixth Edition.,,I-XLVI 1-3231,2007,,,db/reference/crc/ismh2007.html,,,,
reference/crc/2012green,2015-06-05,,,Handbook of Energy-Aware and Green Computing - Two Volume Set.,,,2012,,,db/reference/crc/green2012.html,,,,
reference/crc/2008apda,2017-05-16,,,Handbook of Algorithms for Physical Design Automation.,,,2008,,,db/reference/crc/apda2008.html,,,,
reference/crc/2014vr,2017-05-16,,,Handbook of Virtual Environments - Design Implementation and Applications Second Edition.,Handbook of Virtual Environments 2nd ed.,,2014,,,db/reference/crc/vr2014.html,,,,
reference/vlsi/1999,2017-05-16,,,The VLSI Handbook.,,,1999,,,db/reference/vlsi/vlsi1999.html,,,,
reference/auto/2009,2017-05-16,,,Springer Handbook of Automation,Handbook of Automation,,2009,,,db/reference/auto/auto2009.html,,,,
reference/ai/2009,2017-05-16,,,Encyclopedia of Artificial Intelligence (3 Volumes),Encyclopedia of  Artificial Intelligence,,2009,,,db/reference/ai/ai2009.html,,,,
reference/cg/2004,2017-05-16,,,Handbook of Discrete and Computational Geometry Second Edition.,,,2004,,,db/reference/cg/dcg2004.html,,,,
reference/vdt/2012,2017-05-16,,,Handbook of Visual Display Technology,Handbook of Visual Display Technology,,2012,,,db/reference/vdt/vdt2012.html,,,,
reference/nc/2012,2017-05-16,,,Handbook of Natural Computing,Handbook of Natural Computing,,2012,,,db/reference/nc/nc2012.html,,,,
reference/knowledge/2011,2017-05-16,,,Encyclopedia of Knowledge Management Second Edition,Encyclopedia of Knowledge Management,,2011,,,db/reference/knowledge/knowledge2011.html,,,,
reference/opt/2009,2011-11-25,,,Encyclopedia of Optimization Second Edition,,,2009,,,db/reference/opt/opt2009.html,,,,
reference/rsh/2011,2011-01-08,,,Recommender Systems Handbook,Recommender Systems Handbook,,2011,,,db/reference/rsh/rsh2011.html,,,,
reference/dlhandbook/2009,2017-05-16,,,Handbook of Research on Digital Libraries: Design Development and Impact,Handbook of Research on Digital Libraries,,2009,,,db/reference/dlhandbook/dlhandbook2009.html,,,,
reference/tf/2008ewmc,2015-06-11,,,Encyclopedia of Wireless and Mobile Communications,,,2008,,,db/reference/tf/ewmc2008.html,,,,
reference/tf/2011eia,2017-05-07,,,Encyclopedia of Information Assurance,,,2011,,,db/reference/tf/eia2011.html,,,,
reference/forensics/2010,2017-05-16,,,Handbook of Research on Computational Forensics Digital Crime and Investigation: Methods and Solutions,Handbook of Research on Computational Forensics Digital Crime and Investigation,,2010,,,db/reference/forensics/forensics2010.html,,,,
reference/mosi/2014,2015-03-13,,,Modeling and Simulation-Based Systems Engineering Handbook.,,,2014,,,db/reference/mosi/modeling2014.html,,,,
reference/cn/2014,2017-05-16,,,Encyclopedia of Computational Neuroscience,,,2014,,,db/reference/cn/cn2014.html,,,,
reference/algo/2008,2011-11-25,,,Encyclopedia of Algorithms,,,2008,,,,,,,
reference/algo/2008t,2011-11-25,,,Taschenbuch der Algorithmen,,,2008,,,db/reference/algo/taschenbuch2008.html,,,eXamen.press,
reference/algo/2016,2017-05-16,,,Encyclopedia of Algorithms,,,2016,,,db/reference/algo/algo2016.html,,,,
reference/portal/2007,2017-05-16,,,Encyclopedia of Portal Technologies and Applications (2 Volumes),Encyclopedia of Portal Technologies and Applications,,2007,,,db/reference/portal/portal2007.html,,,,
reference/icsec/2010,2017-05-16,,,Handbook of Information and Communication Security,Handbook of Information and Communication Security,,2010,,,db/reference/icsec/icsec2010.html,,,,
reference/gis/2008,2011-11-25,,,Encyclopedia of GIS.,,,2008,,,db/reference/gis/gis2008.html,,,,
reference/gis/2017,2017-05-15,,,Encyclopedia of GIS.,Encyclopedia of GIS,,2017,,,db/reference/gis/gis2017.html,,,,
reference/gis/2014,2017-05-16,,,Encyclopedia of Remote Sensing,,,2014,,,db/reference/gis/rs2014.html,,,,
reference/nlp/2010,2015-02-09,,,Handbook of Natural Language Processing Second Edition.,,,2010,,,db/reference/nlp/nlp2010.html,,,,
reference/choice/2016,2017-05-16,,,Handbook of Computational Social Choice,,,2016,,,db/reference/choice/choice2016.html,,,,
reference/sps/2013,2017-06-14,,,Handbook of Signal Processing Systems,Handbook of Signal Processing Systems,,2013,,,db/reference/sps/sps2013.html,,,,
reference/dataware/2009,2017-05-16,,,Encyclopedia of Data Warehousing and Mining Second Edition (4 Volumes),Encyclopedia of Data Warehousing and Mining,,,,,,,,,
reference/sp/2015dc,2017-05-16,,,Handbook on Data Centers,Handbook on Data Centers,,2015,,,db/reference/sp/dc2015.html,,,,
reference/sp/2015rsh,2017-05-16,,,Recommender Systems Handbook,,,2015,,,db/reference/sp/rsh2015.html,,,,
reference/sp/2015mmi,2017-05-16,,,Handbook of Mathematical Methods in Imaging,Handbook of Mathematical Methods in Imaging,,2015,,,db/reference/sp/mmi2015.html,,,,
reference/sp/2015ci,2017-05-16,,,Springer Handbook of Computational Intelligence,Springer Handbook of Computational Intelligence,,2015,,,db/reference/sp/ci2015.html,,,,
reference/sp/2011semweb,2017-05-16,,,Handbook of Semantic Web Technologies,Handbook of Semantic Web Technologies,,2011,,,db/reference/sp/semweb2011.html,,,,
reference/sp/2013hc,2017-06-09,,,Handbook of Human Computation,,,2013,,,db/reference/sp/hc2013.html,,,,
reference/vision/2014,2017-05-16,,,Computer Vision A Reference Guide,Computer Vision A Reference Guide,,2014,,,db/reference/vision/vision2014.html,,,,
reference/parallel/2011,2017-05-16,,,Encyclopedia of Parallel Computing,,,2011,,,db/reference/parallel/parallel2011.html,,,,
reference/wiley/2008,2017-03-13,,,Wiley Encyclopedia of Computer Science and Engineering,Wiley Encyclopedia of Computer Science and Engineering,,2008,,,db/reference/wiley/wiley2008.html,,,,
reference/ethics/2007,2017-05-16,,,Encyclopedia of Information Ethics and Security,Encyclopedia of Information Ethics and Security,,2007,,,db/reference/ethics/ethics2007.html,,,,
reference/dbsec/2008,2011-11-13,,,Handbook of Database Security - Applications and Trends,Handbook of Database Security,,2008,,,db/reference/dbsec/dbsec2008.html,,,,
reference/se/2010,2011-11-25,,,Encyclopedia of Software Engineering,Encyclopedia of Software Engineering,,2010,,,db/reference/se/se2010.html,,,,
reference/assisted/2012,2012-03-28,,,Handbook of Ambient Assisted Living - Technology for Healthcare Rehabilitation and Well-being,Handbook of Ambient Assisted Living,,2012,11,,db/reference/assisted/assisted2012.html,,,Ambient Intelligence and Smart Environments,
reference/mm/2008,2017-05-16,,,Encyclopedia of Multimedia 2nd Ed.,,,2008,,,db/reference/mm/mm2008.html,,,,
reference/mm/2006,2011-11-25,,,Encyclopedia of Multimedia,,,2006,,,db/reference/mm/mm2006.html,,,,
reference/bio/2009,2017-05-16,,,Encyclopedia of Biometrics,Encyclopedia of Biometrics,,2009,,,db/reference/bio/a.html,,,,
reference/bio/2015,2017-05-16,,,Encyclopedia of Biometrics Second Edition,,,2015,,,db/reference/bio/2.html,,,,
reference/snam/2014,2017-05-16,,,Encyclopedia of Social Network Analysis and Mining,Encyclopedia of Social Network Analysis and Mining,,2014,,,db/reference/snam/snam2014.html,,,,
reference/docip/2014,2017-05-16,,,Handbook of Document Image Processing and Recognition,Handbook of Document Image Processing and Recognition,,2014,,,db/reference/docip/docip2014.html,,,,
reference/mediated/2008,2017-06-09,,,Handbook of Research on Computer Mediated Communication (2 Volumes),Handbook of Research on Computer Mediated Communication,,2008,,,db/reference/mediated/mediated2008.html,,,,
reference/stat/2011,2017-05-16,,,International Encyclopedia of Statistical Science,,,,,,,,,,
reference/social/2010,2016-06-23,,,Handbook of Social Network Technologies and Applications,Handbook of Social Network Technologies,,2010,,,db/reference/social/social2010.html,,,,
reference/ubiqhandbook/2008,2017-06-09,,,Handbook of Research on Ubiquitous Computing Technology for Real Time Enterprises,Handbook of Research on Ubiquitous Computing Technology for Real Time Enterprises,,2008,,,db/reference/ubiqhandbook/ubiqhandbook2008.html,,,,
reference/robo/2008,2008-09-18,,,Springer Handbook of Robotics,,,2008,,,db/reference/robo/robo2008.html,,,,
reference/robo/2016,2017-05-16,,,Springer Handbook of Robotics,,,2016,,,db/reference/robo/robo2016.html,,,,
reference/ml/2017,2017-05-16,,,Encyclopedia of Machine Learning and Data Mining,Encyclopedia of Machine Learning and Data Mining,,2017,,,db/reference/ml/ml2017.html,,,,
reference/ml/2010,2017-05-16,,,Encyclopedia of Machine Learning,Encyclopedia of Machine Learning,,2010,,,db/reference/ml/ml2010.html,,,,
reference/npe/2011,2017-05-16,,,Network Performance Engineering - A Handbook on Convergent Multi-Service Networks and Next Generation Internet,Network Performance Engineering,,2011,5233,,db/reference/npe/npe2011.html,,,Lecture Notes in Computer Science,
reference/db/2009,2017-06-09,,,Encyclopedia of Database Systems,Encyclopedia of Database Systems,,2009,,,db/reference/db/index.html,,,,
reference/complexity/2009,2011-11-25,,,Encyclopedia of Complexity and Systems Science,,,2009,,,db/reference/complexity/ecss2009.html,,,,
books/lap/Mokhov10,2012-12-17,,,Hybrid Intensional Computing in GIPSY: JLucid Objective Lucid and GICF.,,,2010,,,,,,,
books/siam/Wegener00,2012-04-19,,,Branching Programs and Binary Decision Diagrams,,,2000,,,http://ls2-www.cs.uni-dortmund.de/monographs/bdd/,,,,
books/iee/Ghanbari2003,2008-01-31,,,Standard Codecs: Image Compression to Advanced Video Coding.,,,2003,,,http://acm.books24x7.com/toc.asp?bookid=6998,,,,
books/acm/Kim95,2004-03-08,,,Modern Database Systems: The Object Model Interoperability and Beyond.,Modern Database Systems,,1995,,,db/books/collections/kim95.html,,,,
books/acm/0082477,2011-02-08,,,The no-nonsense guide to computing careers.,,,1992,,,,,,,
books/garland/Satterthwaite75,2002-05-24,,,Source Language Debugging Tools,,,1975,,,,,,Outstanding Dissertations in the Computer Sciences,
books/garland/Sutherland63,2002-05-24,,,Sketchpad A Man-Machine Graphical Communication System,,,1963,,,,,,Outstanding Dissertations in the Computer Sciences,
books/garland/Wilensky78,2002-05-24,,,Understanding Goal-Based Stories,,,1978,,,,,,Outstanding Dissertations in the Computer Sciences,
books/garland/Brosgol73,2002-05-24,,,Deterministic Translation Grammars,,,1973,,,,,,Outstanding Dissertations in the Computer Sciences,
books/garland/Jain78,2002-05-24,,,Control-Theoretic Formulation of Operating Systems Resource Management Policies,,,1978,,,,,,Outstanding Dissertations in the Computer Sciences,
books/garland/Buzen71,2002-05-24,,,Queueing Network Models of Multiprogramming,,,1971,,,,,,Outstanding Dissertations in the Computer Sciences,
books/garland/Meehan76,2002-05-24,,,The Metanovel: Writing Stories by Computer,,,1976,,,,,,Outstanding Dissertations in the Computer Sciences,
books/garland/Sedgewick75,2002-05-24,,,Quicksort,,,1975,,,,,,Outstanding Dissertations in the Computer Sciences,
books/garland/Woods67,2002-05-24,,,Semantics For a Question-Answering System,,,1967,,,,,,Outstanding Dissertations in the Computer Sciences,
books/garland/Willard78,2002-05-24,,,Predicate-Oriented Database Search Algorithms,,,1978,,,,,,Outstanding Dissertations in the Computer Sciences,
books/garland/Moore75,2002-05-24,,,Reasoning from Incomplete Knowledge in a Procedural Deduction System,,,1975,,,,,,Outstanding Dissertations in the Computer Sciences,
books/garland/Hack75,2002-05-24,,,Decidability Questions for Petri Nets,,,1975,,,,,,Outstanding Dissertations in the Computer Sciences,
books/garland/Suzuki76,2002-05-24,,,Automatic Verification of Programs with Complex Data Structures,,,1976,,,,,,Outstanding Dissertations in the Computer Sciences,
books/garland/Shum76,2002-05-24,,,Queueing Models for Computer Systems with General Service Time Distributions,,,1976,,,,,,Outstanding Dissertations in the Computer Sciences,
books/garland/Yun73,2002-05-24,,,The Hensel Lemma in Algebraic Manipulation,,,1973,,,,,,Outstanding Dissertations in the Computer Sciences,
books/garland/Mitchell70,2002-05-24,,,The Design and Construction of Flexible and Efficient Interactive Programming Systems,,,1970,,,,,,Outstanding Dissertations in the Computer Sciences,
books/garland/Wick75,2002-05-24,,,Automatic Generation of Assemblers,,,1975,,,,,,Outstanding Dissertations in the Computer Sciences,
books/garland/Green69,2002-05-24,,,,,,,,,,,,,
books/garland/Roberts63,2002-05-24,,,Machine Perception of Three-Dimensional Solids,,,1963,,,,,,Outstanding Dissertations in the Computer Sciences,
books/garland/Brown77,2002-05-24,,,The Analysis of a Practical and Nearly Optimal Priorty Queue,,,1977,,,,,,Outstanding Dissertations in the Computer Sciences,
books/garland/Cartwright76,2002-05-24,,,A Practical Formal Semantic Definition and Verification System for TYPED LISP,,,1976,,,,,,Outstanding Dissertations in the Computer Sciences,
books/garland/Crane72,2002-05-24,,,Linear Lists and Prorty Queues as Balanced Binary Trees,,,1972,,,,,,Outstanding Dissertations in the Computer Sciences,
books/garland/Pratt72,2002-05-24,,,Shellsort and Sorting Networks,,,1972,,,,,,Outstanding Dissertations in the Computer Sciences,
books/garland/Owicki75,2002-05-24,,,Axiomatic Proof Techniques for Parallel Programs,,,1975,,,,,,Outstanding Dissertations in the Computer Sciences,
books/garland/Standish67,2002-05-24,,,A Data Definition Facility for Programming Languages,,,1967,,,,,,Outstanding Dissertations in the Computer Sciences,
books/garland/Gouraud71,2002-05-24,,,Computer Display of Curved Surfaces,,,1971,,,,,,Outstanding Dissertations in the Computer Sciences,
books/garland/Minter76,2002-05-24,,,A Processor Design for the Efficient Implementation of APL,,,1976,,,,,,Outstanding Dissertations in the Computer Sciences,
books/garland/Wegbreit70,2002-05-24,,,Studies in Extensible Programming Languages,,,1970,,,,,,Outstanding Dissertations in the Computer Sciences,
books/bu/Morgan1998,2007-07-12,,,Building an Optimizing Compiler.,,,1998,,,,,,,
books/bu/Rijsbergen79,2002-01-03,,,Information Retrieval.,,,1979,,,,,,,
books/halsted/Everitt93,2002-01-03,,,Cluster Analysis.,,,1993,,,,,,,
books/nostrand/WittenMT94,2002-01-03,,,Managing Gigabytes: Compressing and Indexing Documents and Images.,,,1994,,,,,,,
books/cs/Storer88,2002-01-03,,,Data Compression: Methods and Theory.,,,1988,,,,,,,
books/cs/HorowitzS78,2002-01-03,,,Fundamentals of Computer Algorithms.,,,1978,,,,,,,
books/cs/Wong83,2002-01-03,,,Algorithmic Studies in Mass Storage Systems.,,,1983,,,,,,,
books/cs/Ullman82,2002-01-03,,,Principles of Database Systems 2nd Edition,,,1982,,,,,,,
books/cs/NaqviT89,2002-01-03,,,A Logical Language for Data and Knowledge Bases.,,,1989,,,,,,,
books/cs/Parsons1992,2004-01-13,,,Introduction to Compiler Construction,,,1992,,,,,,,
books/cs/Ullman89,2016-06-23,,,Principles of Database and Knowledge-Base Systems Volume II,,,1989,,,db/books/dbtext/ullman89.html,,,,
books/cs/Ullman88,2017-04-26,,,Principles of Database and Knowledge-Base Systems Volume I,,I-XI 1-631,1988,14,,db/books/dbtext/ullman89.html,,,Principles of computer science series,
books/cs/Papadimitriou86,2002-01-03,,,The Theory of Database Concurrency Control,,,1986,,,,,,,
books/cs/Ullman80,2002-01-03,,,Principles of Database Systems 1st Edition,,,1980,,,,,,,
books/cs/Maier83,2016-01-14,,,The Theory of Relational Databases.,,,1983,,,db/books/dbtext/Maier83.html,,,,
books/oldenbusch/2013,2016-09-23,,,Bioinformatics Algorithms: Sequence Analysis Genome Rearrangements and Phylogenetic Reconstruction,,1-604,2013,,,,,,,
books/crc/KatzLindell2014,2017-06-29,,,Introduction to Modern Cryptography Second Edition,,,2014,,,https://www.crcpress.com/Introduction-to-Modern-Cryptography-Second-Edition/Katz-Lindell/p/book/9781466570269,,,,
books/crc/cvn2016,2017-05-16,,,Cognitive Vehicular Networks.,,,2016,,,db/books/collections/cvn2016.html,,,,
books/crc/L2015,2017-05-16,,,A Guide to Publishing for Academics - Inside the Publish or Perish Phenomenon.,,,2015,,,db/books/collections/L2015.html,,,,
books/crc/Lemone1992,2004-01-13,,,Design of Compilers - Techniques of Programming Language Translation,,,1992,,,,,,,
books/crc/bigdata2015,2015-05-22,,,Big Data - Algorithms Analytics and Applications.,,,2015,,,db/books/collections/bigdata2015.html,,,,
books/crc/Hitzler2010,2016-04-15,,,Foundations of Semantic Web Technologies,,,2010,,,,,,,
books/crc/Compiler07,2013-02-16,,,The Compiler Design Handbook: Optimizations and Machine Code Generation Second Edition,The Compiler Design Handbook 2nd ed.,,2007,,,db/books/collections/CRCcompiler2007.html,,,,
books/crc/dong2013,2013-03-17,,,Contrast Data Mining: Concepts Algorithms and Applications,,,2013,,,db/books/collections/dong2013.html,,,,
books/crc/MenezesOV96,2017-02-05,,,Handbook of Applied Cryptography,,,1996,,,http://cacr.uwaterloo.ca/hac/,,,,
books/crc/chb2014-1,2014-06-17,,,,,,,,,,,,,
books/crc/Talia2012,2015-09-24,,,Service-Oriented Distributed Knowledge Discovery.,,,2012,,,,,,,
books/crc/Czarnul2015,2015-06-23,,,Integration of Services into Workflow Applications.,,,2015,,,,,,,
books/crc/bhw2016,2016-11-06,,,Bioinformatics Database Systems.,,,2016,,,,,,,
books/crc/asds2016,2017-05-16,,,From Action Systems to Distributed Systems - The Refinement Approach.,,,2016,,,db/books/collections/asds2016.html,,,,
books/crc/zurawski2009-2,2017-05-16,,,Networked Embedded Systems - Volume 2 of the Embedded Systems Handbook,,,2009,,,db/books/collections/zurawski2009-2.html,,,,
books/crc/sakr2014,2017-06-14,,,Large Scale and Big Data - Processing and Management.,,,2014,,,db/books/collections/sakr2014.html,,,,
books/crc/cloud2014,2017-05-16,,,Cloud Computing and Digital Media - Fundamentals Techniques and Applications.,,,2014,,,db/books/collections/cloud2014.html,,,,
books/crc/healthcare2015,2015-08-18,,,Healthcare Data Analytics.,,,2015,,,db/books/collections/healthcare2015.html,,,,
books/crc/rlc2016,2017-02-09,,,Location Privacy in Wireless Sensor Networks.,,,2016,,,,,,,
books/crc/Compiler02,2008-05-06,,,The Compiler Design Handbook: Optimizations and Machine Code Generation,The Compiler Design Handbook,,2002,,,db/books/collections/CRCcompiler2002.html,,,,
books/crc/aggarwal2013,2013-09-04,,,Data Clustering: Algorithms and Applications,,,2014,,,db/books/collections/aggarwal2013.html,,,,
books/crc/tucker1997,2008-02-24,,,The Computer Science and Engineering Handbook,,,1997,,,db/books/collections/tucker97.html,,,,
books/crc/Torgo2010,2014-12-03,,,Data Mining with R: Learning with Case Studies,,,2010,,,,,,,
books/crc/KatzLindell2007,2011-12-07,,,Introduction to Modern Cryptography,,,2007,,,http://www.cs.umd.edu/~jkatz/imc.html,,,,
books/crc/chb2014-2,2014-06-17,,,Computing Handbook Third Edition: Information Systems and Information Technology,Computing Handbook 3rd ed. (2),,2014,,,db/books/collections/chb2014-2.html,,,,
books/crc/mugc2014,2016-05-20,,,Mining User Generated Content.,,,2014,,,db/books/collections/mugc2014.html,,,,
books/crc/hbd2016,2016-05-20,,,Handbook of Big Data.,,,2016,,,db/books/collections/hbd2016.html,,,,
books/crc/zurawski2009-1,2017-05-16,,,Embedded Systems Design and Verification - Volume 1 of the Embedded Systems Handbook,,,2009,,,db/books/collections/zurawski2009-1.html,,,,
books/crc/linked2014,2015-05-09,,,Linked Data Management.,,,2014,,,db/books/collections/linked2014.html,,,,
books/crc/aggarwal2014,2015-01-31,,,Data Classification: Algorithms and Applications,,,2014,,,db/books/collections/aggarwal2014.html,,,,
books/crc/AU1992,2017-05-16,,,Foundations of Computer Science C Edition,,I-XIII 1-765,1992,,,,,,,
books/crc/IIR05,2005-03-04,,,The Industrial Information Technology Handbook,The Industrial Information Technology Handbook,,2005,,,db/books/collections/IITHandbook2005.html,,,,
books/infix/Konig-Ries99,2017-01-12,,,Ein Verfahren zur semi-automatischen Generierung von Mediatorspezifikationen.,,1-279,1999,55,,,,,DISDBIS,Karlsruhe Institute of Technology Germany
books/infix/Hasse96,2017-01-12,,,Einheitliche Theorie für korrekte parallele und fehlertolerante Ausführung von Datenbanktransaktionen.,,,1996,13,,,,,DISDBIS,ETH Zurich Zürich Switzerland
books/infix/Latecki92,2017-01-10,,,Digitale und Allgemeine Topologie in der bildhaften Wissensrepräsentation.,,,,,,,,,,
books/infix/Markl99,2017-01-31,,,MISTRAL: Processing Relational Queries using a Multidimensional Access Technique.,,1-208,1999,59,,,,,DISDBIS,University of Mannheim Germany
books/infix/Steinhage93,2017-01-06,,,Verdeckungen und spezielle Sichten bei der Polyederrekonstruktion.,,1-207,1993,45,,,,,DISKI,University of Bonn Germany
books/infix/Klotz93,2017-01-09,,,Eine mehrschichtige Architektur zur Fehlerdiagnose und Fehlerbehebung bei der Entwicklung logischer Programme.,,,1993,39,,,,,DISKI,Technical University Munich Germany
books/infix/Schaad96,2016-10-05,,,Trabsaktionsverwaltung in heterogenen föderierten Datenbanksystemen.,,1-183,1996,12,,,,,DISDBIS,ETH Zurich Zürich Switzerland
books/infix/Gunter92,2017-01-09,,,Flexible Kontrolle in Expertensystemen zur Planung und Konfigurierung in technischen Domänen.,,1-239,1992,3,,,,,DISKI,University of Hamburg Germany
books/infix/Gunthor97,2016-09-29,,,Ein Basisdienst für die zuverlässige Abwicklung langdauernder Aktivitäten.,,,1997,27,,,,,DISDBIS,University of Stuttgart
books/infix/Weik97,2017-02-15,,,Terminierung und Konfluenz in einer aktiven objektorientierten Datenbank.,,,1997,37,,,,,DISDBIS,Technische Universität Ilmenau Germany
books/infix/Walter96,2017-01-12,,,Dynamische Beziehungen als Modell der Kooperation in verteilten Objektsystemen.,,1-306,1996,10,,,,,DISDBIS,Karlsruhe Institute of Technology Germany
books/infix/Ingenerf93,2017-03-08,,,Benutzeranpaßbare semantische Sprachanalyse und Begriffsrepräsentation für die medizinische Dokumentation.,,1-345,1993,43,,,,,DISKI,RWTH Aachen University Germany
books/infix/Schwarz99,2017-01-12,,,Das Konzept der Transaktionshülle zur konsistenten Spezifikation von Abhänigigkeiten in komplexen Anwendungen.,,1-279,1999,64,,,,,DISDBIS,Otto-von-Guericke University Magdeburg Germany
books/infix/Althoff93,2016-12-21,,,Eine fallbasierte Lernkomponente als integraler Bestandteil der MOLTKE-Werkbank zur Diagnose technischer Systeme.,,1-253,1993,23,,,,,DISKI,Kaiserslautern University of Technology Germany
books/infix/Wetzel96,2016-10-05,,,Wissensbasierte Verkehrsszenenanalyse zur Fahrerunterstützung.,,,1996,109,,,,,DISKI,University of Erlangen-Nuremberg Germany
books/infix/Kottmann96,2016-09-29,,,Replikation in vernetzten Systemen mit mobilen Teilnehmern.,,,1996,20,,,,,DISDBIS,
books/infix/Kaiser97,2016-09-29,,,Interaktive Akquisition elementarer Roboterfähigkeiten.,,,1997,153,,,,,DISKI,
books/infix/Zhang92,2017-01-05,,,Lernen durch Genetisch-Neuronale Evolution: Aktive Anpassung an unbekannte Umgebungen mit selbstentwickelten parallelen Netzwerken.,,1-269,1992,16,,,,,DISKI,University of Bonn Germany
books/infix/Rys98,2017-01-12,,,Materialisation and Parallelism in the Mapping of an Object Model to a Relational Multi-processor System.,,1-195,1998,44,,,,,DISDBIS,ETH Zurich Zürich Switzerland
books/infix/Argenton98,2017-01-12,,,Indexierung und Retrieval von Feature-Bäumen am Beispiel der linguistischen Analyse von Textkorpora.,,1-199,1998,40,,,,,DISDBIS,University of Tübingen Germany
books/infix/Klettke98,2017-01-12,,,Akquisition von Integritätsbedingungen in Datenbanken.,,1-222,1998,51,,,,,DISDBIS,University of Rostock Germany
books/infix/Schuhart2006,2016-12-06,,,Design and Implementation of a Database Programming Language for XML-based Applications.,,1-169,2006,97,,,,,DISDBIS,University of Lübeck Germany
books/infix/Strasser92,2017-05-15,,,Generierung domänenspezifischer Wissensrepräsentationssysteme und Transformation von Wissensbasen mit einer Anwendung in der Rechtsinformatik.,,1-209,1992,8,,,,,DISKI,Technical University Munich Germany
